,role,location,url
216,"Director of Engineering, Revenue (Financial Engineering)",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-of-engineering-advertising-revenue-fine
217,"Senior Product Manager, Soundtrap for Education",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-manager-soundtrap-for-education
218,"Client Partner, CPG Beverages",New York,https://www.lifeatspotify.com/jobs/client-partner-cpg-beverages
219,"Designer II, Personalization Programming Platform",Stockholm,https://www.lifeatspotify.com/jobs/designer-ii-personalization-programming-platform
220,"Security Engineer, Threat Detection & Response",New York or Remote Americas,https://www.lifeatspotify.com/jobs/security-engineer-threat-detection-response
221,"Sr. Data Scientist, Spotify Live",New York or Remote Americas,https://www.lifeatspotify.com/jobs/sr-data-scientist-spotify-live
222,"Senior Manager, Product Design, Partner & Platform Experiences",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-manager-product-design-partner-platform-experiences
223,"Backend Engineer, Podsights",New York or Remote Americas,https://www.lifeatspotify.com/jobs/backend-engineer-podsights
224,Technical Partnership Manager,New York,https://www.lifeatspotify.com/jobs/technical-partnership-manager
225,"Manager, Internal Audit",New York,https://www.lifeatspotify.com/jobs/manager-internal-audit
226,"Network Engineer, Global Workplace Services",New York,https://www.lifeatspotify.com/jobs/network-engineer-global-workplace-services
227,"Social Media Lead, Global Synergy/Product",New York,https://www.lifeatspotify.com/jobs/social-media-lead-global-synergy-product
228,"Sr. Design Manager, User Platform",London or Remote EMEA,https://www.lifeatspotify.com/jobs/sr-design-manager-user-platform
229,"Senior Product Designer, Core Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-designer-core-experience-2
230,"Podcast Production Coordinator, Indonesia (4 months contract)",Singapore,https://www.lifeatspotify.com/jobs/podcast-production-coordinator-indonesia-4-months-contract
231,"Product Designer, Activation",London or Remote EMEA,https://www.lifeatspotify.com/jobs/product-designer-activation
232,Partnerships & Business Development Manager SEA,Singapore,https://www.lifeatspotify.com/jobs/partnerships-business-development-manager-sea
233,"Podcast Production Coordinator, Philippines (3 months Contract)",Singapore,https://www.lifeatspotify.com/jobs/podcast-production-coordinator-philippines-4-months-contract
234,"Sr. Manager, Content Business + Innovation Ops",New York,https://www.lifeatspotify.com/jobs/sr-manager-business-operations-and-market-intelligence-content-ads-bu
235,"Senior Product Manager, Personalization",Stockholm,https://www.lifeatspotify.com/jobs/senior-product-manager-personalization-2
236,"Senior Product Manager, Personalization",Amsterdam,https://www.lifeatspotify.com/jobs/senior-product-manager-personalization
237,"Senior Analyst, Internal Audit, IT (Tech Pillar)",New York,https://www.lifeatspotify.com/jobs/senior-analyst-internal-audit-it
238,"Megaphone Publisher Solutions, Associate Manager",Berlin,https://www.lifeatspotify.com/jobs/megaphone-publisher-solutions-associate-manager
239,"Manager, Brand & Culture Consumer Communications",New York,https://www.lifeatspotify.com/jobs/manager-brand-culture-consumer-communications
240,"Account Manager, Amsterdam",Amsterdam,https://www.lifeatspotify.com/jobs/account-manager-amsterdam
241,"Staff Web Engineer, Podcast Monetization",New York or Remote Americas,https://www.lifeatspotify.com/jobs/staff-web-engineer-megaphone
242,"Senior iOS Engineer (Remote Eligible, Americas)",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-ios-engineer-remote-eligible-americas
243,"Senior Product Designer, Core Experience",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-product-designer-core-experience
244,"Director of Engineering, Personalization",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-of-engineering-personalization
245,"Engineering Manager, Machine Learning Platform",New York or Remote Americas,https://www.lifeatspotify.com/jobs/engineering-manager-machine-learning-platform
246,"Android Engineer, Consumer Experience",Berlin or Remote EMEA,https://www.lifeatspotify.com/jobs/android-engineer-consumer-experience-3
247,"Senior Analytics Engineer, Client Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-analytics-engineer-client-platform
248,"Associate, Advertising Analytics, London",London,https://www.lifeatspotify.com/jobs/associate-advertising-analytics
249,Sound Up Program Manager,London,https://www.lifeatspotify.com/jobs/sound-up-program-manager
250,"Campaign Management Lead, Business Operations JAPAC",Sydney,https://www.lifeatspotify.com/jobs/campaign-management-lead-business-operations-japac
251,"Senior Data Scientist, Music Expression",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-data-scientist-music-expression
252,"Senior Backend Engineer, Personalization",Miami or Remote Americas,https://www.lifeatspotify.com/jobs/senior-backend-engineer-personalization-2
253,Global Growth Senior Marketing Manager,London,https://www.lifeatspotify.com/jobs/global-growth-senior-marketing-manager
254,Marketing Technology & Operations Manager,New York,https://www.lifeatspotify.com/jobs/marketing-technology-operations-manager
255,"Android Engineer, Premium Offering",New York or Remote Americas,https://www.lifeatspotify.com/jobs/android-engineer-premium-offering
256,Client Partner ANZ,Sydney,https://www.lifeatspotify.com/jobs/client-partner-anz
257,"Platform Success Engineer, Podsights",New York or Remote Americas,https://www.lifeatspotify.com/jobs/platform-success-engineer-podsights
258,"Analytics Engineer, Ads Insights",New York or Remote Americas,https://www.lifeatspotify.com/jobs/analytics-engineer-ads-insights
259,"Account Director, Agency, Hamburg",Hamburg,https://www.lifeatspotify.com/jobs/account-director-agency-hamburg
260,"Account Director, Nordics",Stockholm,https://www.lifeatspotify.com/jobs/account-director-nordics
261,"Senior Android Engineer, Advertising",New York or Remote Americas,https://www.lifeatspotify.com/jobs/android-engineer-advertising
262,Global Growth Marketing Associate,London,https://www.lifeatspotify.com/jobs/global-growth-marketing-coordinator
263,"Director, Global Advertising Brand Safety",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-global-advertising-brand-safety
264,"Product Manager, Catalog Foundations",Stockholm,https://www.lifeatspotify.com/jobs/product-manager-catalog-foundations-2
265,"Agile Operations Manager, Client Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/agile-operations-manager-client-platform
266,"Analytics Engineer, Freemium",London or Remote EMEA,https://www.lifeatspotify.com/jobs/analytics-engineer-freemium
267,"Senior Product Designer, Analytics Platform",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-designer-analytics-platform
268,"Senior Product Insights Manager, Freemium",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-product-insights-manager-freemium
269,"Data Science Manager, Growth",London or Remote EMEA,https://www.lifeatspotify.com/jobs/data-science-manager-growth
270,"Megaphone Publisher Solutions, Manager, Milan",Milan,https://www.lifeatspotify.com/jobs/megaphone-publisher-solutions-manager
