role,exp_level,location,url
Senior Pricing Strategist - Zalando Lounge (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4788843-senior-pricing-strategist-zalando-lounge-all-genders/
Senior Product Manager - Integration (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4789478-senior-product-manager-integration-all-genders/
Rechtsanwaltsfachangestellte/ Paralegal (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4796283-rechtsanwaltsfachangestellte-paralegal-all-genders/
Principal Engineer - Security Operations (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4859519-principal-engineer-security-operations-all-genders/
"Principal Program Manager, B2B PMO (all genders)",Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4806437-principal-program-manager-b2b-pmo-all-genders/
Deputy Manager (all genders) Hamburg,Leadership,Hamburg,https://jobs.zalando.com/en/jobs/4810289-deputy-manager-all-genders-hamburg/
Safety Manager (all genders),Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4812829-safety-manager-all-genders/
Principal Engineer (all genders) - Data Management (B2B),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4844389-principal-engineer-all-genders-data-management-b2b/
Ausbildung 2023 Kauffrau/-mann für Marketingkommunikation (m/w/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4818304-ausbildung-2023-kauffrau-mann-f-r-marketingkommunikation-m-w-d/
Machine Learning Engineer - Purchase Risk Management (All Genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4824154-machine-learning-engineer-purchase-risk-management-all-genders/
Head of Digital Media - Brand Marketing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4830593-head-of-digital-media-brand-marketing-all-genders/
Customer Care Specialist (all genders) - Norwegian Market,Entry Level,Berlin,https://jobs.zalando.com/en/jobs/4833305-customer-care-specialist-all-genders-norwegian-market/
(Senior) Product Analyst DX - Maternity Cover (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4838379--senior-product-analyst-dx-maternity-cover-all-genders/
Senior SAP MM Consultant (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4839070-senior-sap-mm-consultant-all-genders/
Executive Principal Engineer,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4839235-executive-principal-engineer/
Software Engineer - Returns and Overarching Services (B2B) (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4841459-software-engineer-returns-and-overarching-services-b2b-all-genders/
Engineering Lead - Carrier Platform (B2B) (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4841475-engineering-lead-carrier-platform-b2b-all-genders/
Nachwuchsführungskraft Lagerlogistik (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4845975-nachwuchsf-hrungskraft-lagerlogistik-all-genders/
Technik ds. Technologii Przepływu i Utrzymania Ruchu,Professional Level,Bydgoszcz,https://jobs.zalando.com/en/jobs/4854074-technik-ds-technologii-przep-ywu-i-utrzymania-ruchu/
(Senior) Personalspezialist (all genders) Zalando Logistics Erfurt,Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4870112--senior-personalspezialist-all-genders-zalando-logistics-erfurt/
Supervisor Verkaufsfläche (all genders),Professional Level,Bielefeld,https://jobs.zalando.com/en/jobs/4870440-supervisor-verkaufsfl-che-all-genders/
Supervisor (all genders) Kassenbereich,Professional Level,Bielefeld,https://jobs.zalando.com/en/jobs/4870450-supervisor-all-genders-kassenbereich/
Senior Android Engineer - Recommerce,Professional Level,Helsinki,https://jobs.zalando.com/en/jobs/4870481-senior-android-engineer-recommerce/
Senior Manager Corporate Development - M&A (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4870484-senior-manager-corporate-development-m-a-all-genders/
Senior Backend Engineer (Java/Scala/Kotlin) - Core Logistics Abilities (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4870599-senior-backend-engineer-java-scala-kotlin-core-logistics-abilities-all-genders/
Senior Fullstack Engineer (Java/Scala/Kotlin) - Core Logistics Abilities (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4897428-senior-fullstack-engineer-java-scala-kotlin-core-logistics-abilities-all-genders/
Media Software Engineer - Brand Marketing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4871651-media-software-engineer-brand-marketing-all-genders/
Store Manager (all genders) Mannheim,Leadership,Mannheim,https://jobs.zalando.com/en/jobs/4987675-store-manager-all-genders-mannheim/
